year,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,totals
9/1/2023,Alabama,10342,145,15421,12848,1156,1052,0,14,2,1,2451,1001,18,40,0,0,29,21,14,0,1,44556
9/1/2023,Alaska,188,10,2429,2543,262,197,0,0,0,0,160,87,1,29,15,0,0,1,0,0,0,5922
9/1/2023,Arizona,9113,2014,14398,8239,1575,931,0,14,1,2,1254,404,8,214,9,0,6,6,0,1,0,38189
9/1/2023,Arkansas,2139,181,5645,6108,437,466,6,8,5,1,1237,949,4,0,0,0,6,13,2,0,0,17207
9/1/2023,California,28611,15559,33792,20548,4295,0,0,1,1,0,871,445,31,2185,1283,56,7289,3093,529,26,10,118625
9/1/2023,Colorado,7012,19,16429,12217,1475,1872,0,0,0,0,0,0,0,265,31,0,0,0,0,0,0,39320
9/1/2023,Connecticut,6120,520,4723,1797,350,0,0,0,0,0,0,0,0,0,0,0,184,85,5,0,0,13784
9/1/2023,Delaware,177,0,1608,1039,76,91,0,0,0,0,22,15,0,76,0,0,40,11,0,0,0,3155
9/1/2023,District of Columbia,674,0,202,15,0,4,7,0,0,0,0,0,0,0,0,27,0,0,0,0,0,929
9/1/2023,Florida,8399,0,51223,20945,4528,3085,0,6,1,0,4062,990,10,1374,108,2,259,141,54,47,45,95279
9/1/2023,Georgia,10171,0,14264,9395,930,800,0,16,8,2,2219,870,12,69,0,0,19,6,2,0,0,38783
9/1/2023,Guam,0,0,140,77,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233
9/1/2023,Hawaii,1685,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1689
9/1/2023,Idaho,3325,140,4475,5422,451,325,1,0,1,0,332,356,3,76,13,5,5,4,0,1,0,14935
9/1/2023,Illinois,191538,0,19675,10357,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222356
9/1/2023,Indiana,366,23635,16104,11963,1480,928,5,2,4,0,925,364,25,94,5,0,27,21,6,1,0,55955
9/1/2023,Iowa,3030,4008,2027,2936,123,86,1,2,1,0,43,39,1,51,17,2,1,0,0,0,0,12368
9/1/2023,Kansas,1572,6,4738,5289,627,411,1,3,5,0,532,247,5,85,7,1,7,5,1,0,0,13542
9/1/2023,Kentucky,509,264196,8369,7610,472,583,25,16,7,0,1790,947,6,49,6,0,22,13,1,1,0,284622
9/1/2023,Louisiana,1586,418,9390,10164,746,733,0,3,0,0,927,524,4,0,0,0,7,7,4,0,0,24513
9/1/2023,Maine,317,6,3096,4646,303,229,1,1,0,0,87,65,0,21,9,0,4,6,0,0,0,8791
9/1/2023,Mariana Islands,0,0,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
9/1/2023,Maryland,8624,41,6291,5594,105,7,0,0,2,0,82,95,1,93,11,21,0,19,2,0,2,20990
9/1/2023,Massachusetts,7758,1,4306,2586,1066,242,5,0,0,1,7,23,2,0,0,0,39,37,9,3,1,16086
9/1/2023,Michigan,15744,5197,16471,16313,1647,774,0,0,0,1,30,269,5,111,16,1,32,9,1,1,0,56622
9/1/2023,Minnesota,10882,36329,8341,14133,827,633,0,1,0,0,165,229,5,124,29,1,21,28,3,0,2,71753
9/1/2023,Mississippi,2375,0,6519,6247,402,377,0,12,4,1,1640,807,1,17,1,0,3,3,1,0,1,18411
9/1/2023,Missouri,923,194,15275,14310,1627,1214,0,6,5,0,1455,758,19,306,47,1,26,31,9,1,0,36207
9/1/2023,Montana,873,0,3871,5447,334,404,11,3,0,0,414,549,1,38,14,1,5,12,4,1,1,11983
9/1/2023,Nebraska,3634,150,112,1625,17,4,0,0,0,0,4,24,0,29,3,0,0,0,0,0,0,5602
